voltage,temp,rel time,abs time,volt dif,ppm
10.59639,33.273926,110.106,42:16.9,0.00000,-2.642
10.59639,33.354492,111.268,42:18.0,0.00000,-4.058
10.59639,33.515625,112.432,42:19.2,0.00000,-4.058
10.59639,33.273926,113.593,42:20.4,0.00000,-2.831
10.59639,33.273926,114.757,42:21.5,0.00000,-3.020
10.59639,33.273926,115.918,42:22.7,0.00000,-3.869
10.59639,33.273926,117.082,42:23.8,0.00000,-4.247
10.59639,33.354492,118.243,42:25.0,-0.00001,-4.813
10.59639,32.95166,119.407,42:26.2,0.00000,-4.624
10.59639,33.354492,120.569,42:27.3,-0.00001,-4.813
10.59639,33.193359,121.73,42:28.5,0.00000,-3.964
10.59639,33.354492,122.892,42:29.7,0.00000,-3.775
10.59639,33.273926,124.055,42:30.8,0.00000,-3.209
10.59639,33.354492,125.218,42:32.0,0.00000,-3.397
10.59639,33.596191,126.38,42:33.1,0.00000,-4.058
10.59639,33.273926,127.543,42:34.3,0.00000,-3.492
10.59639,33.354492,128.705,42:35.5,0.00000,-4.341
10.59639,32.95166,129.867,42:36.6,-0.00001,-5.568
10.59639,33.354492,131.03,42:37.8,0.00000,-4.624
10.59639,32.709961,132.202,42:39.0,0.00000,-4.435
10.59639,33.354492,133.364,42:40.1,0.00000,-4.435
10.59639,33.193359,134.527,42:41.3,0.00000,-3.114
10.59639,33.193359,135.689,42:42.4,0.00000,-3.114
10.59639,33.354492,136.853,42:43.6,0.00000,-3.397
10.59639,33.193359,138.026,42:44.8,0.00000,-4.435
10.59639,33.596191,139.196,42:46.0,-0.00001,-5.190
10.59639,33.193359,140.358,42:47.1,0.00000,-4.435
10.59639,33.273926,141.521,42:48.3,-0.00001,-7.455
10.59639,33.354492,142.683,42:49.4,-0.00001,-4.907
10.59639,33.273926,143.847,42:50.6,0.00000,-3.869
10.59639,33.273926,145.019,42:51.8,0.00000,-3.397
10.59639,32.95166,146.181,42:52.9,0.00000,-3.586
10.59639,33.354492,147.343,42:54.1,0.00000,-4.152
10.59639,33.354492,148.505,42:55.3,0.00000,-3.680
10.59639,33.193359,149.669,42:56.4,-0.00001,-7.267
10.59638,33.273926,150.831,42:57.6,-0.00001,-9.060
10.59639,32.629395,151.993,42:58.8,-0.00001,-6.417
10.59639,33.596191,153.156,42:59.9,-0.00001,-7.927
10.59639,33.273926,154.318,43:01.1,-0.00001,-5.568
10.59639,33.273926,155.482,43:02.2,-0.00001,-5.379
10.59639,32.871094,156.653,43:03.4,0.00000,-3.775
10.59639,33.354492,157.815,43:04.6,-0.00001,-5.568
10.59639,33.193359,158.978,43:05.7,0.00000,-3.775
10.59639,33.676758,160.14,43:06.9,0.00000,-3.586
10.59639,33.435059,161.303,43:08.1,-0.00001,-4.907
10.59639,33.435059,162.465,43:09.2,-0.00001,-5.096
10.59639,33.435059,163.627,43:10.4,-0.00001,-5.285
10.59639,33.273926,164.79,43:11.5,0.00000,-2.548
10.59639,33.354492,165.952,43:12.7,0.00000,-1.887
10.59639,33.435059,167.13,43:13.9,-0.00001,-4.719
