pwmcount, residuebefore, residueafter,diff,scaling
5,1497,1647,150,0.40275
5,1691,1953,262,0.70347
5,1995,1459,-536,-1.43916
5,1502,1813,311,0.835035
5,1855,1909,54,0.14499
5,1953,2166,213,0.571905
5,2211,2159,-52,-0.13962
5,2203,1669,-534,-1.43379
5,1712,1974,262,0.70347
5,2014,2169,155,0.416175
5,2215,1477,-738,-1.98153
5,1519,2040,521,1.398885
5,2083,1767,-316,-0.84846
5,1810,2030,220,0.5907
5,2072,1751,-321,-0.861885
5,1795,1646,-149,-0.400065
5,1689,1853,164,0.44034
5,1893,2271,378,1.01493
5,2315,1587,-728,-1.95468
5,1629,1535,-94,-0.25239
5,1577,2152,575,1.543875
5,2195,2204,9,0.024165
5,2250,2204,-46,-0.12351
5,2247,1615,-632,-1.69692
5,1656,1871,215,0.577275
5,1915,1923,8,0.02148
5,1968,1807,-161,-0.432285
5,1851,2374,523,1.404255
5,2419,1838,-581,-1.559985
5,1879,1663,-216,-0.57996
5,1707,2396,689,1.849965
5,2441,2233,-208,-0.55848
5,2277,1651,-626,-1.68081
5,1695,1795,100,0.2685
5,1837,1689,-148,-0.39738
5,1732,2262,530,1.42305
5,2303,1891,-412,-1.10622
5,1938,2158,220,0.5907
5,2201,1615,-586,-1.57341
5,1660,1447,-213,-0.571905
5,1491,2025,534,1.43379
5,2067,2071,4,0.01074
5,2111,1591,-520,-1.3962
5,1632,2047,415,1.114275
5,2089,2205,116,0.31146
5,2249,1670,-579,-1.554615
5,1713,1911,198,0.53163
5,1956,2063,107,0.287295
5,2108,1691,-417,-1.119645
5,1733,1635,-98,-0.26313
5,1677,2047,370,0.99345
5,2093,1663,-430,-1.15455
5,1709,2338,629,1.688865
5,2380,1964,-416,-1.11696
5,2006,1643,-363,-0.974655
5,1685,2105,420,1.1277
5,2149,1786,-363,-0.974655
5,1828,2096,268,0.71958
5,2138,1503,-635,-1.704975
5,1546,2172,626,1.68081
5,2216,2063,-153,-0.410805
5,2107,2264,157,0.421545
5,2303,2041,-262,-0.70347
5,2082,1607,-475,-1.275375
5,1650,2170,520,1.3962
5,2214,2012,-202,-0.54237
5,2055,1795,-260,-0.6981
5,1836,2156,320,0.8592
5,2199,2038,-161,-0.432285
5,2079,2137,58,0.15573
5,2175,1707,-468,-1.25658
5,1749,1854,105,0.281925
5,1895,2155,260,0.6981
5,2199,1980,-219,-0.588015
5,2021,1855,-166,-0.44571
5,1899,1855,-44,-0.11814
5,1896,2108,212,0.56922
5,2151,1731,-420,-1.1277
5,1772,2350,578,1.55193
5,2391,1920,-471,-1.264635
5,1963,1699,-264,-0.70884
5,1741,1948,207,0.555795
5,1990,2197,207,0.555795
5,2239,1922,-317,-0.851145
5,1963,1651,-312,-0.83772
5,1693,1474,-219,-0.588015
5,1516,1986,470,1.26195
5,2028,1964,-64,-0.17184
5,2006,1739,-267,-0.716895
5,1782,1683,-99,-0.265815
5,1726,1821,95,0.255075
5,1863,2223,360,0.9666
5,2266,1791,-475,-1.275375
5,1831,1934,103,0.276555
5,1975,1655,-320,-0.8592
5,1698,1966,268,0.71958
5,2008,2014,6,0.01611
5,2058,1727,-331,-0.888735
5,1771,1775,4,0.01074
5,1817,1765,-52,-0.13962
5,1807,2072,265,0.711525
5,2115,2010,-105,-0.281925
5,2055,1787,-268,-0.71958
5,1828,1475,-353,-0.947805
5,1519,1571,52,0.13962
5,1615,1671,56,0.15036
5,1715,1662,-53,-0.142305
5,1703,2074,371,0.996135
5,2117,2068,-49,-0.131565
5,2111,2214,103,0.276555
5,2255,2046,-209,-0.561165
5,2087,1581,-506,-1.35861
5,1623,1883,260,0.6981
5,1930,1826,-104,-0.27924
5,1867,1823,-44,-0.11814
5,1866,2136,270,0.72495
5,2175,1867,-308,-0.82698
5,1907,1964,57,0.153045
5,2007,1903,-104,-0.27924
5,1948,1891,-57,-0.153045
5,1936,2099,163,0.437655
5,2141,1932,-209,-0.561165
5,1974,2295,321,0.861885
5,2338,2236,-102,-0.27387
5,2279,1659,-620,-1.6647
5,1702,1863,161,0.432285
5,1905,1449,-456,-1.22436
5,1493,1559,66,0.17721
5,1599,2027,428,1.14918
5,2069,1807,-262,-0.70347
5,1851,1699,-152,-0.40812
5,1743,2115,372,0.99882
5,2159,1791,-368,-0.98808
5,1835,1695,-140,-0.3759
5,1737,1535,-202,-0.54237
5,1577,1739,162,0.43497
5,1780,1899,119,0.319515
5,1948,1960,12,0.03222
5,2002,1741,-261,-0.700785
5,1783,1641,-142,-0.38127
5,1683,1483,-200,-0.537
5,1527,1631,104,0.27924
5,1671,2200,529,1.420365
5,2243,1731,-512,-1.37472
5,1773,1675,-98,-0.26313
5,1719,1571,-148,-0.39738
5,1613,2036,423,1.135755
5,2081,2393,312,0.83772
5,2431,2126,-305,-0.818925
5,2170,2228,58,0.15573
5,2271,1797,-474,-1.27269
5,1839,1687,-152,-0.40812
5,1729,2362,633,1.699605
5,2406,1637,-769,-2.064765
5,1679,2047,368,0.98808
5,2091,2196,105,0.281925
5,2239,2147,-92,-0.24702
5,2188,1611,-577,-1.549245
5,1654,1926,272,0.73032
5,1968,1609,-359,-0.963915
5,1651,1451,-200,-0.537
5,1494,1863,369,0.990765
5,1905,1541,-364,-0.97734
5,1583,1855,272,0.73032
5,1899,2076,177,0.475245
5,2119,1911,-208,-0.55848
5,1956,1975,19,0.051015
5,2017,2288,271,0.727635
5,2332,2030,-302,-0.81087
5,2073,1709,-364,-0.97734
5,1751,2016,265,0.711525
5,2058,1653,-405,-1.087425
5,1695,2383,688,1.84728
5,2427,1799,-628,-1.68618
5,1841,2111,270,0.72495
5,2155,1543,-612,-1.64322
5,1585,1903,318,0.85383
5,1948,2165,217,0.582645
5,2207,2224,17,0.045645
5,2267,1959,-308,-0.82698
5,2001,2228,227,0.609495
5,2271,2127,-144,-0.38664
5,2169,2325,156,0.41886
5,2367,1701,-666,-1.78821
5,1743,1964,221,0.593385
5,2005,1695,-310,-0.83235
5,1739,2224,485,1.302225
5,2270,1551,-719,-1.930515
5,1595,1707,112,0.30072
5,1749,2328,579,1.554615
5,2372,1749,-623,-1.672755
5,1792,2223,431,1.157235
5,2267,1799,-468,-1.25658
5,1841,1849,8,0.02148
5,1890,2157,267,0.716895
5,2200,1683,-517,-1.388145
5,1725,1945,220,0.5907
5,1987,1999,12,0.03222
5,2041,1639,-402,-1.07937
5,1683,1581,-102,-0.27387
5,1624,2158,534,1.43379
5,2202,1530,-672,-1.80432
5,1573,2053,480,1.2888
5,2095,1691,-404,-1.08474
5,1730,1895,165,0.443025
5,1944,2207,263,0.706155
5,2251,1783,-468,-1.25658
5,1823,1893,70,0.18795
5,1938,2156,218,0.58533
5,2199,1485,-714,-1.91709
5,1527,2062,535,1.436475
5,2106,1651,-455,-1.221675
5,1693,2386,693,1.860705
5,2431,1960,-471,-1.264635
5,2003,1651,-352,-0.94512
5,1695,1545,-150,-0.40275
5,1588,2074,486,1.30491
5,2117,1610,-507,-1.361295
5,1652,1703,51,0.136935
5,1744,1757,13,0.034905
5,1799,2172,373,1.001505
5,2218,1705,-513,-1.377405
5,1747,2073,326,0.87531
5,2116,2172,56,0.15036
5,2218,1498,-720,-1.9332
5,1540,1497,-43,-0.115455
5,1539,1462,-77,-0.206745
5,1502,1930,428,1.14918
5,1972,1821,-151,-0.405435
5,1862,1725,-137,-0.367845
5,1766,1787,21,0.056385
5,1829,2208,379,1.017615
5,2251,2060,-191,-0.512835
5,2104,1743,-361,-0.969285
5,1786,2230,444,1.19214
5,2274,2029,-245,-0.657825
5,2071,2095,24,0.06444
5,2137,1901,-236,-0.63366
5,1946,1899,-47,-0.126195
5,1946,2115,169,0.453765
5,2159,2236,77,0.206745
5,2280,1983,-297,-0.797445
5,2024,1519,-505,-1.355925
5,1561,2047,486,1.30491
5,2090,1628,-462,-1.24047
5,1670,1895,225,0.604125
5,1940,1950,10,0.02685
5,1994,2110,116,0.31146
5,2153,1750,-403,-1.082055
5,1792,1450,-342,-0.91827
5,1491,2082,591,1.586835
5,2127,1932,-195,-0.523575
5,1974,1689,-285,-0.765225
5,1729,2116,387,1.039095
5,2162,1657,-505,-1.355925
5,1699,1670,-29,-0.077865
5,1711,2150,439,1.178715
5,2191,1477,-714,-1.91709
5,1521,1543,22,0.05907
5,1586,2182,596,1.60026
5,2225,1471,-754,-2.02449
5,1515,2270,755,2.027175
5,2314,2027,-287,-0.770595
5,2071,2303,232,0.62292
5,2347,2163,-184,-0.49404
5,2206,1797,-409,-1.098165
5,1839,2184,345,0.926325
5,2228,2293,65,0.174525
5,2335,1471,-864,-2.31984
5,1514,1895,381,1.022985
5,1940,2386,446,1.19751
5,2429,1719,-710,-1.90635
5,1763,1742,-21,-0.056385
5,1783,2175,392,1.05252
5,2222,2189,-33,-0.088605
5,2231,2208,-23,-0.061755
5,2254,1966,-288,-0.77328
5,2008,2244,236,0.63366
5,2288,1786,-502,-1.34787
5,1827,1799,-28,-0.07518
5,1839,1751,-88,-0.23628
5,1793,2134,341,0.915585
5,2175,2190,15,0.040275
5,2235,1743,-492,-1.32102
5,1783,1706,-77,-0.206745
5,1747,2134,387,1.039095
5,2175,2200,25,0.067125
5,2243,1906,-337,-0.904845
5,1952,2084,132,0.35442
5,2128,1988,-140,-0.3759
5,2029,1939,-90,-0.24165
5,1981,1965,-16,-0.04296
5,2004,2099,95,0.255075
5,2141,2268,127,0.340995
5,2311,1917,-394,-1.05789
5,1962,1882,-80,-0.2148
5,1928,2168,240,0.6444
5,2212,1711,-501,-1.345185
5,1756,2360,604,1.62174
5,2403,2220,-183,-0.491355
5,2263,1757,-506,-1.35861
5,1797,2191,394,1.05789
5,2236,1843,-393,-1.055205
5,1883,1789,-94,-0.25239
5,1830,1853,23,0.061755
5,1893,2023,130,0.34905
5,2065,1984,-81,-0.217485
5,2027,1957,-70,-0.18795
5,1999,2175,176,0.47256
5,2219,2240,21,0.056385
5,2284,2099,-185,-0.496725
5,2143,2163,20,0.0537
5,2206,2223,17,0.045645
5,2267,2024,-243,-0.652455
5,2067,1827,-240,-0.6444
5,1869,2148,279,0.749115
5,2191,1998,-193,-0.518205
5,2041,1907,-134,-0.35979
5,1952,1972,20,0.0537
5,2013,1922,-91,-0.244335
5,1964,2088,124,0.33294
5,2131,2056,-75,-0.201375
5,2100,1978,-122,-0.32757
5,2021,2089,68,0.18258
5,2134,2105,-29,-0.077865
5,2148,2069,-79,-0.212115
5,2111,2137,26,0.06981
5,2175,2360,185,0.496725
5,2403,2367,-36,-0.09666
5,2412,1976,-436,-1.17066
5,2017,1899,-118,-0.31683
5,1946,2227,281,0.754485
5,2269,2234,-35,-0.093975
5,2277,2244,-33,-0.088605
5,2289,1685,-604,-1.62174
5,1727,2070,343,0.920955
5,2111,1932,-179,-0.480615
5,1974,1731,-243,-0.652455
5,1773,2164,391,1.049835
5,2207,1549,-658,-1.76673
5,1591,2047,456,1.22436
5,2093,2222,129,0.346365
5,2265,1615,-650,-1.74525
5,1655,2152,497,1.334445
5,2195,2374,179,0.480615
5,2415,2023,-392,-1.05252
5,2063,2239,176,0.47256
5,2283,2254,-29,-0.077865
5,2298,1855,-443,-1.189455
5,1896,1930,34,0.09129
5,1972,2356,384,1.03104
5,2399,1483,-916,-2.45946
5,1527,2177,650,1.74525
5,2220,1926,-294,-0.78939
5,1970,1678,-292,-0.78402
5,1720,2278,558,1.49823
5,2321,1928,-393,-1.055205
5,1971,2055,84,0.22554
5,2100,1984,-116,-0.31146
5,2025,1951,-74,-0.19869
5,1993,2071,78,0.20943
5,2111,2032,-79,-0.212115
5,2075,2094,19,0.051015
5,2138,2164,26,0.06981
5,2207,1977,-230,-0.61755
5,2016,1525,-491,-1.318335
5,1567,1707,140,0.3759
5,1750,1723,-27,-0.072495
5,1763,2265,502,1.34787
5,2303,1755,-548,-1.47138
5,1798,2300,502,1.34787
5,2343,2057,-286,-0.76791
5,2100,2080,-20,-0.0537
5,2124,1839,-285,-0.765225
5,1881,1485,-396,-1.06326
5,1527,2170,643,1.726455
5,2215,2077,-138,-0.37053
5,2124,1783,-341,-0.915585
5,1824,1903,79,0.212115
5,1952,1822,-130,-0.34905
5,1863,2214,351,0.942435
5,2255,1452,-803,-2.156055
5,1495,2047,552,1.48212
5,2095,2177,82,0.22017
5,2223,1986,-237,-0.636345
5,2030,1743,-287,-0.770595
5,1786,1517,-269,-0.722265
5,1559,2116,557,1.495545
5,2159,1495,-664,-1.78284
5,1537,1992,455,1.221675
5,2035,1751,-284,-0.76254
5,1792,2190,398,1.06863
5,2236,2268,32,0.08592
5,2313,1769,-544,-1.46064
5,1811,2162,351,0.942435
5,2206,1974,-232,-0.62292
5,2016,1939,-77,-0.206745
5,1981,1899,-82,-0.22017
5,1944,1709,-235,-0.630975
5,1752,2199,447,1.200195
5,2242,1695,-547,-1.468695
5,1738,1667,-71,-0.190635
5,1711,2003,292,0.78402
5,2047,2178,131,0.351735
5,2222,2204,-18,-0.04833
5,2247,2228,-19,-0.051015
5,2271,1505,-766,-2.05671
5,1550,1887,337,0.904845
5,1934,1798,-136,-0.36516
5,1839,1503,-336,-0.90216
5,1546,2045,499,1.339815
5,2088,1691,-397,-1.065945
5,1731,1659,-72,-0.19332
5,1699,1781,82,0.22017
5,1822,2276,454,1.21899
5,2319,1823,-496,-1.33176
5,1866,2053,187,0.502095
5,2095,2281,186,0.49941
5,2324,2152,-172,-0.46182
5,2194,1653,-541,-1.452585
5,1695,1879,184,0.49404
5,1921,2264,343,0.920955
5,2303,1811,-492,-1.32102
5,1851,1995,144,0.38664
5,2035,2111,76,0.20406
5,2153,1655,-498,-1.33713
5,1697,1717,20,0.0537
5,1760,1577,-183,-0.491355
5,1621,1903,282,0.75717
5,1952,1711,-241,-0.647085
5,1755,1675,-80,-0.2148
5,1717,2315,598,1.60563
5,2358,2122,-236,-0.63366
5,2166,1711,-455,-1.221675
5,1755,1879,124,0.33294
5,1920,1638,-282,-0.75717
5,1680,2036,356,0.95586
5,2076,2210,134,0.35979
5,2255,2335,80,0.2148
5,2379,1619,-760,-2.0406
5,1661,2317,656,1.76136
5,2361,2285,-76,-0.20406
5,2328,1471,-857,-2.301045
5,1513,2161,648,1.73988
5,2206,2184,-22,-0.05907
5,2227,1827,-400,-1.074
5,1870,1741,-129,-0.346365
5,1783,2128,345,0.926325
5,2173,1994,-179,-0.480615
5,2037,2068,31,0.083235
5,2111,1947,-164,-0.44034
5,1990,2117,127,0.340995
5,2161,2093,-68,-0.18258
5,2138,1797,-341,-0.915585
5,1839,1715,-124,-0.33294
5,1759,2054,295,0.792075
5,2100,2276,176,0.47256
5,2318,1988,-330,-0.88605
5,2028,2213,185,0.496725
5,2255,1859,-396,-1.06326
5,1901,2195,294,0.78939
5,2239,1485,-754,-2.02449
5,1526,1921,395,1.060575
5,1963,1839,-124,-0.33294
5,1879,1597,-282,-0.75717
5,1639,1881,242,0.64977
5,1921,2070,149,0.400065
5,2111,1887,-224,-0.60144
5,1932,1599,-333,-0.894105
5,1643,1575,-68,-0.18258
5,1616,1711,95,0.255075
5,1753,1471,-282,-0.75717
5,1517,1976,459,1.232415
5,2017,1583,-434,-1.16529
5,1625,2076,451,1.210935
5,2118,1727,-391,-1.049835
5,1769,1599,-170,-0.45645
5,1639,1831,192,0.51552
5,1872,1487,-385,-1.033725
5,1532,2036,504,1.35324
5,2079,2002,-77,-0.206745
5,2044,2398,354,0.95049
5,2441,1733,-708,-1.90098
5,1776,1703,-73,-0.196005
5,1745,1677,-68,-0.18258
5,1719,1537,-182,-0.48867
5,1581,2196,615,1.651275
5,2239,2376,137,0.367845
5,2417,2030,-387,-1.039095
5,2070,1479,-591,-1.586835
5,1522,1931,409,1.098165
5,1974,1847,-127,-0.340995
5,1887,1607,-280,-0.7518
5,1649,1779,130,0.34905
5,1820,2379,559,1.500915
5,2421,2236,-185,-0.496725
5,2280,1578,-702,-1.88487
5,1620,1663,43,0.115455
5,1705,1735,30,0.08055
5,1775,2175,400,1.074
5,2219,1879,-340,-0.9129
5,1920,2228,308,0.82698
5,2270,1683,-587,-1.576095
5,1726,2028,302,0.81087
5,2071,1967,-104,-0.27924
5,2008,2151,143,0.383955
5,2193,2387,194,0.52089
5,2431,1886,-545,-1.463325
5,1930,2215,285,0.765225
5,2259,1615,-644,-1.72914
5,1659,1785,126,0.33831
5,1829,1713,-116,-0.31146
5,1755,2056,301,0.808185
5,2099,1976,-123,-0.330255
5,2016,1531,-485,-1.302225
5,1575,1511,-64,-0.17184
5,1553,1799,246,0.66051
5,1839,2093,254,0.68199
5,2137,1695,-442,-1.18677
5,1737,1775,38,0.10203
5,1816,2214,398,1.06863
5,2257,1883,-374,-1.00419
5,1930,1859,-71,-0.190635
5,1902,1887,-15,-0.040275
5,1932,1859,-73,-0.196005
5,1902,1787,-115,-0.308775
5,1829,1968,139,0.373215
5,2008,1993,-15,-0.040275
5,2038,1449,-589,-1.581465
5,1490,2051,561,1.506285
5,2093,1867,-226,-0.60681
5,1908,1879,-29,-0.077865
5,1920,1903,-17,-0.045645
5,1952,2352,400,1.074
5,2395,2220,-175,-0.469875
5,2263,2032,-231,-0.620235
5,2075,1947,-128,-0.34368
5,1989,1871,-118,-0.31683
5,1913,2361,448,1.20288
5,2403,2182,-221,-0.593385
5,2225,1895,-330,-0.88605
5,1940,2135,195,0.523575
5,2175,1950,-225,-0.604125
5,1991,1767,-224,-0.60144
5,1811,1743,-68,-0.18258
5,1786,1775,-11,-0.029535
5,1819,1919,100,0.2685
5,1964,1733,-231,-0.620235
5,1775,2127,352,0.94512
5,2172,1671,-501,-1.345185
5,1715,2324,609,1.635165
5,2367,2244,-123,-0.330255
5,2287,2018,-269,-0.722265
5,2061,1940,-121,-0.324885
5,1983,1595,-388,-1.04178
5,1637,1577,-60,-0.1611
5,1619,1972,353,0.947805
5,2013,2208,195,0.523575
5,2251,2234,-17,-0.045645
5,2278,1567,-711,-1.909035
5,1612,1907,295,0.792075
5,1952,2252,300,0.8055
5,2295,1807,-488,-1.31028
5,1850,1940,90,0.24165
5,1982,1554,-428,-1.14918
5,1596,2156,560,1.5036
5,2199,2024,-175,-0.469875
5,2065,2102,37,0.099345
5,2143,2337,194,0.52089
5,2382,1885,-497,-1.334445
5,1930,2019,89,0.238965
5,2063,1881,-182,-0.48867
5,1928,1647,-281,-0.754485
5,1692,1719,27,0.072495
5,1761,1587,-174,-0.46719
5,1627,1927,300,0.8055
5,1972,2113,141,0.378585
5,2156,1767,-389,-1.044465
5,1809,1956,147,0.394695
5,1999,2036,37,0.099345
5,2078,1498,-580,-1.5573
5,1540,1575,35,0.093975
5,1615,2068,453,1.216305
5,2111,1567,-544,-1.46064
5,1613,1807,194,0.52089
5,1848,1514,-334,-0.89679
5,1557,1799,242,0.64977
5,1841,1823,-18,-0.04833
5,1867,2162,295,0.792075
5,2207,1567,-640,-1.7184
5,1609,2318,709,1.903665
5,2359,1767,-592,-1.58952
5,1811,1689,-122,-0.32757
5,1730,2085,355,0.953175
5,2127,1483,-644,-1.72914
5,1526,1663,137,0.367845
5,1705,1947,242,0.64977
5,1989,2341,352,0.94512
5,2383,2096,-287,-0.770595
5,2141,1968,-173,-0.464505
5,2010,1823,-187,-0.502095
5,1868,1855,-13,-0.034905
5,1899,1771,-128,-0.34368
5,1812,1797,-15,-0.040275
5,1837,1671,-166,-0.44571
5,1712,1695,-17,-0.045645
5,1738,1879,141,0.378585
5,1921,1911,-10,-0.02685
5,1956,2142,186,0.49941
5,2187,1759,-428,-1.14918
5,1800,1723,-77,-0.206745
5,1765,1964,199,0.534315
5,2007,1775,-232,-0.62292
5,1817,1485,-332,-0.89142
5,1528,2034,506,1.35861
5,2077,2156,79,0.212115
5,2199,1663,-536,-1.43916
5,1706,1992,286,0.76791
5,2032,2067,35,0.093975
5,2111,1823,-288,-0.77328
5,1867,1637,-230,-0.61755
5,1679,2246,567,1.522395
5,2290,2066,-224,-0.60144
5,2111,2366,255,0.684675
5,2408,1817,-591,-1.586835
5,1859,2160,301,0.808185
5,2205,1513,-692,-1.85802
5,1557,1595,38,0.10203
5,1638,1727,89,0.238965
5,1769,2225,456,1.22436
5,2270,2248,-22,-0.05907
5,2291,2171,-120,-0.3222
5,2214,1934,-280,-0.7518
5,1975,2276,301,0.808185
5,2319,1783,-536,-1.43916
5,1823,2010,187,0.502095
5,2047,2352,305,0.818925
5,2395,1647,-748,-2.00838
5,1689,1992,303,0.813555
5,2033,2283,250,0.67125
5,2326,1837,-489,-1.312965
5,1879,1915,36,0.09666
5,1960,1946,-14,-0.03759
5,1986,1807,-179,-0.480615
5,1851,1893,42,0.11277
5,1936,1759,-177,-0.475245
5,1802,1623,-179,-0.480615
5,1665,1903,238,0.63903
5,1946,1879,-67,-0.179895
5,1920,2175,255,0.684675
5,2219,2153,-66,-0.17721
5,2195,2288,93,0.249705
5,2331,1463,-868,-2.33058
5,1504,1887,383,1.028355
5,1936,1759,-177,-0.475245
5,1801,1726,-75,-0.201375
5,1769,2012,243,0.652455
5,2055,2292,237,0.636345
5,2335,1895,-440,-1.1814
5,1942,1503,-439,-1.178715
5,1546,1739,193,0.518205
5,1781,2188,407,1.092795
5,2232,1797,-435,-1.167975
5,1839,1503,-336,-0.90216
5,1544,1679,135,0.362475
5,1723,1976,253,0.679305
5,2017,1894,-123,-0.330255
5,1936,2130,194,0.52089
5,2175,2054,-121,-0.324885
5,2099,1615,-484,-1.29954
5,1657,1583,-74,-0.19869
5,1625,1663,38,0.10203
5,1706,1639,-67,-0.179895
5,1681,1503,-178,-0.47793
5,1546,2104,558,1.49823
5,2148,1970,-178,-0.47793
5,2012,1940,-72,-0.19332
5,1982,1911,-71,-0.190635
5,1956,1679,-277,-0.743745
5,1722,2234,512,1.37472
5,2278,2167,-111,-0.298035
5,2207,1992,-215,-0.577275
5,2038,2271,233,0.625605
5,2317,1721,-596,-1.60026
5,1763,1690,-73,-0.196005
5,1732,1623,-109,-0.292665
5,1665,1799,134,0.35979
5,1841,1674,-167,-0.448395
5,1715,2335,620,1.6647
5,2379,1988,-391,-1.049835
5,2032,2070,38,0.10203
5,2111,2294,183,0.491355
5,2335,1645,-690,-1.85265
5,1687,1773,86,0.23091
5,1815,1805,-10,-0.02685
5,1846,2152,306,0.82161
5,2195,2073,-122,-0.32757
5,2118,1887,-231,-0.620235
5,1934,2071,137,0.367845
5,2111,1567,-544,-1.46064
5,1609,1755,146,0.39201
5,1796,1823,27,0.072495
5,1863,2110,247,0.663195
5,2151,1603,-548,-1.47138
5,1646,2103,457,1.227045
5,2147,1659,-488,-1.31028
5,1703,2149,446,1.19751
5,2193,2187,-6,-0.01611
5,2231,1807,-424,-1.13844
5,1849,2096,247,0.663195
5,2139,1551,-588,-1.57878
5,1592,2204,612,1.64322
5,2247,2026,-221,-0.593385
5,2069,1737,-332,-0.89142
5,1780,2026,246,0.66051
5,2069,2047,-22,-0.05907
5,2095,1763,-332,-0.89142
5,1803,2204,401,1.076685
5,2249,1613,-636,-1.70766
5,1657,2002,345,0.926325
5,2046,2336,290,0.77865
5,2380,1895,-485,-1.302225
5,1942,1981,39,0.104715
5,2024,1647,-377,-1.012245
5,1689,1879,190,0.51015
5,1920,2106,186,0.49941
5,2149,2028,-121,-0.324885
5,2070,1895,-175,-0.469875
5,1940,2237,297,0.797445
5,2279,1531,-748,-2.00838
5,1573,1807,234,0.62829
5,1850,1885,35,0.093975
5,1930,1803,-127,-0.340995
5,1844,1875,31,0.083235
5,1917,2062,145,0.389325
5,2104,1984,-120,-0.3222
5,2025,2066,41,0.110085
5,2109,2196,87,0.233595
5,2239,1487,-752,-2.01912
5,1528,1509,-19,-0.051015
5,1553,1847,294,0.78939
5,1887,1875,-12,-0.03222
5,1920,1847,-73,-0.196005
5,1887,1617,-270,-0.72495
5,1660,2008,348,0.93438
5,2047,1607,-440,-1.1814
5,1651,2056,405,1.087425
5,2101,1669,-432,-1.15992
5,1710,2028,318,0.85383
5,2071,1733,-338,-0.90753
5,1775,2072,297,0.797445
5,2116,2361,245,0.657825
5,2403,2241,-162,-0.43497
5,2284,2111,-173,-0.464505
5,2154,1673,-481,-1.291485
5,1716,1699,-17,-0.045645
5,1742,2245,503,1.350555
5,2288,1531,-757,-2.032545
5,1572,2074,502,1.34787
5,2117,1521,-596,-1.60026
5,1563,1491,-72,-0.19332
5,1536,1663,127,0.340995
5,1707,2119,412,1.10622
5,2161,1465,-696,-1.86876
5,1507,2266,759,2.037915
5,2309,1871,-438,-1.17603
5,1913,2257,344,0.92364
5,2302,2280,-22,-0.05907
5,2324,2300,-24,-0.06444
5,2343,2117,-226,-0.60681
5,2159,2343,184,0.49404
5,2385,2143,-242,-0.64977
5,2187,1799,-388,-1.04178
5,1841,2024,183,0.491355
5,2067,2196,129,0.346365
5,2239,2159,-80,-0.2148
5,2201,1651,-550,-1.47675
5,1693,1875,182,0.48867
5,1917,1843,-74,-0.19869
5,1886,1911,25,0.067125
5,1956,1675,-281,-0.754485
5,1718,1960,242,0.64977
5,2003,1925,-78,-0.20943
5,1972,2210,238,0.63903
5,2255,1507,-748,-2.00838
5,1549,1787,238,0.63903
5,1829,2172,343,0.920955
5,2213,1917,-296,-0.79476
5,1960,2099,139,0.373215
5,2142,1703,-439,-1.178715
5,1743,2304,561,1.506285
5,2349,2064,-285,-0.765225
5,2109,1821,-288,-0.77328
5,1863,1747,-116,-0.31146
5,1788,2087,299,0.802815
5,2132,1591,-541,-1.452585
5,1632,1667,35,0.093975
5,1709,1791,82,0.22017
5,1833,2076,243,0.652455
5,2115,2149,34,0.09129
5,2193,1903,-290,-0.77865
5,1948,1875,-73,-0.196005
5,1917,1477,-440,-1.1814
5,1520,1855,335,0.899475
5,1899,1769,-130,-0.34905
5,1811,1797,-14,-0.03759
5,1839,1557,-282,-0.75717
5,1600,1483,-117,-0.314145
5,1524,1915,391,1.049835
5,1960,2353,393,1.055205
5,2396,1638,-758,-2.03523
5,1680,1667,-13,-0.034905
5,1712,1955,243,0.652455
5,1998,2388,390,1.04715
5,2431,1831,-600,-1.611
5,1871,1968,97,0.260445
5,2009,1574,-435,-1.167975
5,1615,1653,38,0.10203
5,1696,1885,189,0.507465
5,1932,1960,28,0.07518
5,2003,2200,197,0.528945
5,2242,1907,-335,-0.899475
5,1952,2192,240,0.6444
5,2235,1956,-279,-0.749115
5,1998,1675,-323,-0.867255
5,1718,1807,89,0.238965
5,1848,2352,504,1.35324
5,2392,2124,-268,-0.71958
5,2169,1829,-340,-0.9129
5,1871,1968,97,0.260445
5,2009,1990,-19,-0.051015
5,2033,2282,249,0.668565
5,2326,2047,-279,-0.749115
5,2092,2122,30,0.08055
5,2165,1994,-171,-0.459135
5,2036,1799,-237,-0.636345
5,1843,1767,-76,-0.20406
5,1808,1839,31,0.083235
5,1881,2128,247,0.663195
5,2171,2107,-64,-0.17184
5,2150,1765,-385,-1.033725
5,1807,2210,403,1.082055
5,2251,1979,-272,-0.73032
5,2021,1952,-69,-0.185265
5,1996,2083,87,0.233595
5,2127,2224,97,0.260445
5,2267,2043,-224,-0.60144
5,2084,2168,84,0.22554
5,2212,2399,187,0.502095
5,2442,2059,-383,-1.028355
5,2102,2404,302,0.81087
5,2447,2113,-334,-0.89679
5,2155,1769,-386,-1.03641
5,1810,2056,246,0.66051
5,2100,1980,-120,-0.3222
5,2021,1791,-230,-0.61755
5,1835,2392,557,1.495545
5,2436,1895,-541,-1.452585
5,1938,2141,203,0.545055
5,2185,1733,-452,-1.21362
5,1774,1543,-231,-0.620235
5,1585,1719,134,0.35979
5,1760,1849,89,0.238965
5,1889,1607,-282,-0.75717
5,1648,2096,448,1.20288
5,2139,1493,-646,-1.73451
5,1536,1933,397,1.065945
5,1974,1535,-439,-1.178715
5,1579,1727,148,0.39738
