pwmcount, residuebefore, residueafter,diff,scaling
5,2302,1960,-342,-0.91827
5,2003,1455,-548,-1.47138
5,1499,1687,188,0.50478
5,1728,2018,290,0.77865
5,2060,1667,-393,-1.055205
5,1711,1945,234,0.62829
5,1989,1757,-232,-0.62292
5,1796,2096,300,0.8055
5,2139,1539,-600,-1.611
5,1581,1663,82,0.22017
5,1705,1934,229,0.614865
5,1976,2267,291,0.781335
5,2309,1771,-538,-1.44453
5,1813,1641,-172,-0.46182
5,1681,1972,291,0.781335
5,2013,2032,19,0.051015
5,2075,1639,-436,-1.17066
5,1681,1711,30,0.08055
5,1753,1847,94,0.25239
5,1887,2070,183,0.491355
5,2114,2033,-81,-0.217485
5,2076,1735,-341,-0.915585
5,1777,1499,-278,-0.74643
5,1541,2302,761,2.043285
5,2344,1690,-654,-1.75599
5,1732,1978,246,0.66051
5,2021,1573,-448,-1.20288
5,1616,1599,-17,-0.045645
5,1641,2036,395,1.060575
5,2079,2059,-20,-0.0537
5,2102,1513,-589,-1.581465
5,1554,1846,292,0.78402
5,1887,1454,-433,-1.162605
5,1496,2052,556,1.49286
5,2095,1807,-288,-0.77328
5,1849,1827,-22,-0.05907
5,1868,2165,297,0.797445
5,2207,2190,-17,-0.045645
5,2234,1531,-703,-1.887555
5,1573,1767,194,0.52089
5,1807,1471,-336,-0.90216
5,1517,1859,342,0.91827
5,1903,2039,136,0.36516
5,2079,1789,-290,-0.77865
5,1828,2187,359,0.963915
5,2231,1586,-645,-1.731825
5,1627,1773,146,0.39201
5,1813,1541,-272,-0.73032
5,1584,2085,501,1.345185
5,2130,2101,-29,-0.077865
5,2143,2375,232,0.62292
5,2417,2247,-170,-0.45645
5,2289,2225,-64,-0.17184
5,2268,1932,-336,-0.90216
5,1974,1854,-120,-0.3222
5,1896,2136,240,0.6444
5,2181,2159,-22,-0.05907
5,2201,1503,-698,-1.87413
5,1549,1895,346,0.92901
5,1940,2028,88,0.23628
5,2071,1791,-280,-0.7518
5,1836,1767,-69,-0.185265
5,1811,2223,412,1.10622
5,2265,1463,-802,-2.15337
5,1504,1851,347,0.931695
5,1895,1827,-68,-0.18258
5,1868,2008,140,0.3759
5,2047,1979,-68,-0.18258
5,2020,2260,240,0.6444
5,2303,2032,-271,-0.727635
5,2075,2116,41,0.110085
5,2159,1775,-384,-1.03104
5,1816,2165,349,0.937065
5,2210,1927,-283,-0.759855
5,1968,1951,-17,-0.045645
5,1994,1667,-327,-0.877995
5,1710,1951,241,0.647085
5,1994,1874,-120,-0.3222
5,1915,2207,292,0.78402
5,2249,1861,-388,-1.04178
5,1903,1947,44,0.11814
5,1988,1607,-381,-1.022985
5,1648,1525,-123,-0.330255
5,1567,1769,202,0.54237
5,1810,1742,-68,-0.18258
5,1783,2081,298,0.80013
5,2125,2053,-72,-0.19332
5,2095,2184,89,0.238965
5,2228,1747,-481,-1.291485
5,1789,1983,194,0.52089
5,2025,2167,142,0.38127
5,2211,1819,-392,-1.05252
5,1860,1849,-11,-0.029535
5,1891,2296,405,1.087425
5,2339,1799,-540,-1.4499
5,1843,1625,-218,-0.58533
5,1667,2017,350,0.93975
5,2059,1465,-594,-1.59489
5,1506,2021,515,1.382775
5,2063,2147,84,0.22554
5,2191,1954,-237,-0.636345
5,1996,1827,-169,-0.453765
5,1871,2125,254,0.68199
5,2168,2252,84,0.22554
5,2295,2168,-127,-0.340995
5,2213,1519,-694,-1.86339
5,1561,2276,715,1.919775
5,2319,1839,-480,-1.2888
5,1880,2175,295,0.792075
5,2218,1567,-651,-1.747935
5,1611,1500,-111,-0.298035
5,1543,2166,623,1.672755
5,2207,1819,-388,-1.04178
5,1860,1998,138,0.37053
5,2041,2082,41,0.110085
5,2127,1956,-171,-0.459135
5,1996,1822,-174,-0.46719
5,1863,2106,243,0.652455
5,2147,2081,-66,-0.17721
5,2125,1587,-538,-1.44453
5,1628,1771,143,0.383955
5,1811,2216,405,1.087425
5,2262,1663,-599,-1.608315
5,1704,2209,505,1.355925
5,2254,2179,-75,-0.201375
5,2222,2352,130,0.34905
5,2395,2271,-124,-0.33294
5,2315,2028,-287,-0.770595
5,2070,2110,40,0.1074
5,2152,1775,-377,-1.012245
5,1816,1687,-129,-0.346365
5,1729,1615,-114,-0.30609
5,1659,1701,42,0.11277
5,1741,1737,-4,-0.01074
5,1779,2075,296,0.79476
5,2119,1623,-496,-1.33176
5,1665,2332,667,1.790895
5,2375,1781,-594,-1.59489
5,1822,1655,-167,-0.448395
5,1697,1675,-22,-0.05907
5,1716,2327,611,1.640535
5,2371,1877,-494,-1.32639
5,1919,2215,296,0.79476
5,2259,1719,-540,-1.4499
5,1763,1956,193,0.518205
5,1998,1923,-75,-0.201375
5,1968,1940,-28,-0.07518
5,1983,2122,139,0.373215
5,2165,1471,-694,-1.86339
5,1512,2028,516,1.38546
5,2070,2159,89,0.238965
5,2203,1503,-700,-1.8795
5,1547,1735,188,0.50478
5,1778,1911,133,0.357105
5,1956,1781,-175,-0.469875
5,1821,2222,401,1.076685
