pwmcount, residuebefore, residueafter,diff
5,1624,1859,235
5,1893,2100,207
5,2142,1961,-181
5,2005,1712,-293
5,1748,1960,212
5,2006,2074,68
5,2121,1957,-164
5,2002,1814,-188
5,1850,1881,31
5,1916,1624,-292
5,1659,2150,491
5,2196,1696,-500
5,1731,2080,349
5,2128,2232,104
5,2276,1739,-537
5,1774,2188,414
5,2233,2132,-101
5,2180,2235,55
5,2281,1693,-588
5,1728,1842,114
5,1877,1755,-122
5,1789,2098,309
5,2144,2328,184
5,2376,2223,-153
5,2268,2107,-161
5,2153,1703,-450
5,1737,2110,373
5,2157,1760,-397
5,1794,2123,329
5,2170,2392,222
5,2440,1776,-664
5,1813,1781,-32
5,1814,1764,-50
5,1799,1599,-200
5,1635,1630,-5
5,1665,1920,255
5,1963,1860,-103
5,1894,2200,306
5,2247,1677,-570
5,1711,2073,362
5,2118,1762,-356
5,1797,1448,-349
5,1482,1826,344
5,1861,1960,99
5,2004,1771,-233
5,1805,1760,-45
5,1795,1961,166
5,2008,2366,358
5,2413,1876,-537
5,1911,2209,298
5,2254,1823,-431
5,1858,1820,-38
5,1852,1910,58
5,1929,1791,-138
5,1823,2028,205
5,2074,1830,-244
5,1865,1833,-32
5,1867,2229,362
5,2276,1785,-491
5,1819,2176,357
5,2220,1695,-525
5,1731,1736,5
5,1771,2232,461
5,2278,1759,-519
5,1795,1976,181
5,2020,2066,46
5,2113,2057,-56
5,2104,1541,-563
5,1576,2068,492
5,2116,2005,-111
5,2051,1871,-180
5,1904,2112,208
5,2156,2075,-81
5,2122,1920,-202
5,1939,2312,373
5,2360,1986,-374
5,2032,1791,-241
5,1823,1917,94
5,1964,1774,-190
5,1807,1916,109
5,1961,1735,-226
5,1771,1926,155
5,1971,1830,-141
5,1865,1815,-50
5,1849,2049,200
5,2096,1833,-263
5,1868,2054,186
5,2100,1543,-557
5,1578,1566,-12
5,1599,1817,218
5,1852,1707,-145
5,1744,1917,173
5,1935,2169,234
5,2218,2106,-112
5,2150,1637,-513
5,1672,1677,5
5,1709,1654,-55
5,1688,1480,-208
5,1515,1979,464
5,2023,2234,211
5,2277,2205,-72
5,2253,1471,-782
5,1507,1751,244
5,1785,1850,65
5,1885,2145,260
5,2193,1682,-511
5,1717,2310,593
5,2358,1780,-578
5,1816,2222,406
5,2268,1949,-319
5,1992,2358,366
5,2405,2196,-209
5,2241,2279,38
5,2326,1816,-510
5,1849,1747,-102
5,1782,2039,257
5,2084,2023,-61
5,2069,1461,-608
5,1496,1783,287
5,1819,1768,-51
5,1803,1857,54
5,1890,2238,348
5,2285,2128,-157
5,2173,1708,-465
5,1743,2132,389
5,2180,1927,-253
5,1945,2363,418
5,2409,2080,-329
5,2128,1856,-272
5,1889,1848,-41
5,1882,1913,31
5,1959,2106,147
5,2152,1915,-237
5,1960,1921,-39
5,1940,2229,289
5,2273,1819,-454
5,1853,1724,-129
5,1758,2157,399
5,2204,1816,-388
5,1850,2092,242
5,2139,1880,-259
5,1913,1948,35
5,1992,1675,-317
5,1710,1610,-100
5,1644,2364,720
5,2410,2249,-161
5,2296,1851,-445
5,1883,2189,306
5,2236,1789,-447
5,1823,2181,358
5,2227,2103,-124
5,2149,1573,-576
5,1609,1868,259
5,1903,2361,458
5,2406,1584,-822
5,1620,1781,161
5,1814,2131,317
5,2177,1964,-213
5,2011,1559,-452
5,1596,2015,419
5,2061,1990,-71
5,2039,2039,0
5,2084,2231,147
5,2279,2140,-139
5,2185,1792,-393
5,1827,2092,265
5,2138,1894,-244
5,1916,1691,-225
5,1726,1757,31
5,1791,2048,257
5,2093,2093,0
5,2138,1895,-243
5,1916,2075,159
5,2120,2068,-52
5,2112,1663,-449
5,1697,1863,166
5,1897,2190,293
5,2235,1830,-405
5,1865,1956,91
5,2002,1539,-463
5,1574,1815,241
5,1850,2203,353
5,2249,2166,-83
5,2212,2161,-51
5,2206,2041,-165
5,2086,1622,-464
5,1657,1829,172
5,1862,1814,-48
5,1848,2321,473
5,2368,2001,-367
5,2048,1702,-346
5,1734,1943,209
5,1987,1927,-60
5,1973,1667,-306
5,1702,1646,-56
5,1681,1988,307
5,2032,1975,-57
5,2020,1553,-467
5,1589,1821,232
5,1853,1649,-204
5,1685,1679,-6
5,1714,1827,113
5,1863,1971,108
5,2017,1829,-188
5,1862,1907,45
5,1926,2199,273
5,2244,2053,-191
5,2099,1986,-113
5,2032,2116,84
5,2161,2315,154
5,2359,1952,-407
5,1995,1690,-305
5,1724,1939,215
5,1983,1935,-48
5,1981,1789,-192
5,1825,2288,463
5,2336,1695,-641
5,1730,2038,308
5,2083,2156,73
5,2204,2256,52
5,2304,2090,-214
5,2136,2124,-12
5,2170,1807,-363
5,1841,2097,256
5,2144,2162,18
5,2209,1849,-360
5,1882,2106,224
5,2152,2097,-55
5,2144,2120,-24
5,2166,1706,-460
5,1740,1682,-58
5,1718,2234,516
5,2281,1532,-749
5,1569,1934,365
5,1954,2222,268
5,2268,1810,-458
5,1845,1953,108
5,1999,2208,209
5,2254,1844,-410
5,1880,2080,200
5,2127,1605,-522
5,1640,1595,-45
5,1627,2000,373
5,2044,2156,112
5,2201,2118,-83
5,2164,2267,103
5,2314,1770,-544
5,1804,1663,-141
5,1698,1624,-74
5,1661,1968,307
5,2012,2178,166
5,2225,2076,-149
5,2122,1660,-462
5,1695,1952,257
5,1997,1523,-474
5,1560,1623,63
5,1657,1894,237
5,1915,2083,168
5,2128,1817,-311
5,1851,1496,-355
5,1531,1999,468
5,2045,1798,-247
5,1831,1726,-105
5,1761,1574,-187
5,1611,1675,64
5,1710,2230,520
5,2276,1465,-811
5,1502,2231,729
5,2278,2294,16
5,2342,1780,-562
5,1814,1992,178
5,2038,1798,-240
5,1832,2112,280
5,2159,2048,-111
5,2095,1806,-289
5,1841,1750,-91
5,1783,1817,34
5,1851,1857,6
5,1891,1666,-225
5,1701,1829,128
5,1864,2080,216
5,2127,2066,-61
5,2112,2012,-100
5,2060,1758,-302
5,1793,1778,-15
5,1814,1714,-100
5,1748,2049,301
5,2094,1893,-201
5,1913,2232,319
5,2278,2213,-65
5,2259,2185,-74
5,2232,1919,-313
5,1941,1687,-254
5,1723,2184,461
5,2228,2193,-35
5,2240,1574,-666
5,1609,1902,293
5,1921,2187,266
5,2236,2363,127
5,2409,1893,-516
5,1914,1548,-366
5,1581,1909,328
5,1931,1656,-275
5,1693,1999,306
5,2044,1700,-344
5,1735,1640,-95
5,1675,1813,138
5,1847,2203,356
5,2248,1772,-476
5,1807,1957,150
5,2003,1980,-23
5,2025,1560,-465
5,1595,2273,678
5,2318,1751,-567
5,1783,2318,535
5,2365,1486,-879
5,1521,1791,270
5,1826,2137,311
5,2185,2038,-147
5,2084,2079,-5
5,2124,1845,-279
5,1879,2076,197
5,2120,2295,175
5,2342,2138,-204
5,2184,1457,-727
5,1493,1548,55
5,1582,2314,732
5,2360,1997,-363
5,2040,1823,-217
5,1857,1563,-294
5,1599,1823,224
5,1859,1707,-152
5,1743,1730,-13
5,1764,2110,346
5,2155,1944,-211
5,1991,1527,-464
5,1562,2160,598
5,2205,1855,-350
5,1888,1724,-164
5,1758,2321,563
5,2366,1728,-638
5,1764,1878,114
5,1911,1903,-8
5,1923,1730,-193
5,1765,1526,-239
5,1562,2074,512
5,2118,1762,-356
