voltage,temp,rel time,abs time
+9.03247727E+00,34.482422,91.922,2022-07-03 21:02:07.099387
+9.03247781E+00,34.079590,93.084,2022-07-03 21:02:08.261172
+9.03247692E+00,33.999023,94.247,2022-07-03 21:02:09.423766
+9.03247771E+00,33.999023,95.409,2022-07-03 21:02:10.586414
+9.03247838E+00,33.999023,96.572,2022-07-03 21:02:11.749170
+9.03247816E+00,33.999023,97.746,2022-07-03 21:02:12.922807
+9.03247941E+00,33.918457,98.916,2022-07-03 21:02:14.093184
+9.03247959E+00,33.999023,100.079,2022-07-03 21:02:15.256261
+9.03248000E+00,33.999023,101.242,2022-07-03 21:02:16.419023
+9.03247951E+00,34.321289,102.404,2022-07-03 21:02:17.580530
+9.03247870E+00,33.596191,103.567,2022-07-03 21:02:18.744176
+9.03247890E+00,34.160156,104.73,2022-07-03 21:02:19.907019
+9.03247930E+00,33.999023,105.891,2022-07-03 21:02:21.068177
+9.03247930E+00,34.240723,107.054,2022-07-03 21:02:22.230496
+9.03247946E+00,34.160156,108.216,2022-07-03 21:02:23.393120
+9.03247905E+00,34.240723,109.379,2022-07-03 21:02:24.555459
+9.03248007E+00,34.240723,110.541,2022-07-03 21:02:25.718226
+9.03247811E+00,34.240723,111.703,2022-07-03 21:02:26.880267
+9.03248016E+00,33.515625,112.865,2022-07-03 21:02:28.042183
+9.03247905E+00,33.193359,114.028,2022-07-03 21:02:29.205389
+9.03248065E+00,34.240723,115.191,2022-07-03 21:02:30.367427
+9.03248030E+00,33.918457,116.36,2022-07-03 21:02:31.537025
+9.03247924E+00,34.160156,117.526,2022-07-03 21:02:32.703105
+9.03247911E+00,33.999023,118.689,2022-07-03 21:02:33.866176
+9.03247951E+00,33.354492,119.851,2022-07-03 21:02:35.027710
+9.03247966E+00,34.160156,121.014,2022-07-03 21:02:36.191081
+9.03248073E+00,34.160156,122.176,2022-07-03 21:02:37.353162
+9.03248115E+00,34.079590,123.338,2022-07-03 21:02:38.514875
+9.03248084E+00,33.515625,124.501,2022-07-03 21:02:39.678230
+9.03248075E+00,34.160156,125.663,2022-07-03 21:02:40.840368
+9.03248312E+00,33.515625,126.826,2022-07-03 21:02:42.002909
+9.03248196E+00,34.160156,127.989,2022-07-03 21:02:43.166409
+9.03248165E+00,34.160156,129.15,2022-07-03 21:02:44.327060
+9.03248200E+00,34.160156,130.313,2022-07-03 21:02:45.490419
+9.03248080E+00,34.160156,131.476,2022-07-03 21:02:46.652901
+9.03248058E+00,34.401855,132.638,2022-07-03 21:02:47.814870
+9.03248035E+00,34.160156,133.801,2022-07-03 21:02:48.977671
+9.03248356E+00,34.160156,134.962,2022-07-03 21:02:50.139413
+9.03248335E+00,34.160156,136.125,2022-07-03 21:02:51.301914
